https://wizardofodds.com/video/blackjack-basic-strategy/,,,,,,,,,,
Hard,2,3,4,5,6,7,8,9,10,Ace
4,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H
9,H,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
11,D,D,D,D,D,D,D,D,D,H
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,R,H
16,S,S,S,S,S,H,H,R,R,R
17,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
,,,,,,,,,,
Soft,2,3,4,5,6,7,8,9,10,Ace
12,H,H,H,H,H,H,H,H,H,H
13,H,H,H,H,D,H,H,H,H,H
14,H,H,H,D,D,H,H,H,H,H
15,H,H,H,D,D,H,H,H,H,H
16,H,H,D,D,D,H,H,H,H,H
17,H,D,D,D,D,H,H,H,H,H
18,S,D,D,D,D,S,S,H,H,H
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
21,S,S,S,S,S,S,S,S,S,S
,,,,,,,,,,
Pair,2,3,4,5,6,7,8,9,10,Ace
2,Y,Y,Y,Y,Y,Y,N,N,N,N
3,Y,Y,Y,Y,Y,Y,N,N,N,N
4,N,N,N,Y,Y,N,N,N,N,N
5,N,N,N,N,N,N,N,N,N,N
6,Y,Y,Y,Y,Y,N,N,N,N,N
7,Y,Y,Y,Y,Y,Y,N,N,N,N
8,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
9,Y,Y,Y,Y,Y,N,Y,Y,N,N
10,N,N,N,N,N,N,N,N,N,N
Ace,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y